"","country","year","N_area","Nt_area","yield","suit","cropsuit","manure_area","netcap_area","netcap14_area","market"
"216","Malaysia",2014,3179088.28583737,0.104470855563968,142716656.273658,54.8459907985,56.85569909,16.6668787929967,0.00997479798895475,0.00997479798895475,4648.06633005
"217","Malta",2000,2962335.392037,0.102910685137824,55614182.5422864,65.6913319239,68.28760331,390.941225881853,0.0209817254568636,0.0291645983850404,2
"218","Malta",2006,3006757.68421038,0.104453902875845,57751672.5,65.6913319239,68.4186314,480.561597959184,0.0410918367346939,0.0484883673469388,2
"219","Malta",2010,3116887.02581301,0.108279764737593,65254976.4596912,65.6913319239,68.44373918,394.861812055869,0.0548345993629012,0.0592213673119334,2
"220","Malta",2014,3261448.40144684,0.113301785623863,63034539.7080491,65.6913319239,68.43706697,324.613318099136,0.0621305138699409,0.0621305138699409,2
"221","Mauritania",2000,477026.968330318,0.0161114533478652,11513883.3200588,4.48685360155,34.68338606,34.5465724494148,0.00119670189072644,0.00166341562810975,8.73904006047
"222","Mauritania",2006,311509.642528862,0.010521151645956,8825592.90535872,4.48685360155,34.68542311,31.6762379178211,0.0012940321091002,0.00152695788873823,8.95008727751
"223","Mauritania",2010,251035.812438548,0.00847866483294183,12536558.1328902,4.48685360155,34.61692568,27.2799911854736,0.00176177914885049,0.00190272148075853,8.93588505878
"224","Mauritania",2014,430714.338904234,0.0145472571536186,20601779.2253241,4.48685360155,34.54738205,37.1616829304239,0.00311964914944644,0.00311964914944644,8.94755897655
"225","Mexico",2000,2239159.21901806,0.0756269806336629,43100625.3670914,38.3519784824,50.55051239,36.7058587117641,0.000692339217520468,0.000962351512353451,4722.88968981
"226","Mexico",2006,2336612.32370185,0.0789184321740511,50000169.4443548,38.3519784824,50.4857879,40.0821179339281,0.000965932873720292,0.00113980079098994,4721.05647645
"227","Mexico",2010,2409147.29412401,0.0813682806514566,53504983.8171345,38.3519784824,50.37281,40.9304111133013,0.00102809962897432,0.00111034759929227,4700.82949213
"228","Mexico",2014,2978405.73540634,0.100594826378423,54922502.1229931,38.3519784824,50.33378475,40.9630907120505,0.00125545966791271,0.00125545966791271,4683.25266308
"229","Morocco",2000,328549.528848752,0.0110966690731086,6052990.67558456,14.6955524638,47.36217049,4.65748854341482,0.00112626699053061,0.00156551111683755,2089.74000134
"230","Morocco",2006,634802.754154659,0.0214402866874753,23823477.1881918,14.6955524638,47.13138233,4.99092960421726,0.00184288546753315,0.00217460485168911,2079.42100758
"231","Morocco",2010,710372.964645716,0.0239926495550855,22357792.1179225,14.6955524638,46.78719457,6.06322963564323,0.00282920392570195,0.0030555402397581,2063.38746041
"232","Morocco",2014,853563.350633936,0.0288288650667304,21350663.5720318,14.6955524638,46.71569216,7.25363418025665,0.00384922209952568,0.00384922209952568,2061.01517953
"233","Myanmar",2000,475607.445978292,0.0156293604727174,33511363.5213075,41.3603344839,53.98793622,25.1140137362468,0.000208683458740628,0.000290070007649473,200.802579618
"234","Myanmar",2006,924298.343678597,0.0303741922458207,39217391.7101215,41.3603344839,53.94325505,23.7913829352902,0.000208168672896416,0.000245639034017771,198.759661465
"235","Myanmar",2010,737341.52422856,0.0242304374566018,41250154.5857039,41.3603344839,53.92627332,28.8547219269846,0.000574027465682304,0.000619949662936888,198.102398075
"236","Myanmar",2014,866150.005423942,0.0284633278404031,40719593.439067,41.3603344839,53.92190987,40.6410113603197,0.00110904632511027,0.00110904632511027,197.473647031
"237","Netherlands",2000,5131067.45072265,0.178251817218833,119748132.340578,40.8449229637,45.23344778,781.793777806188,0.0784020710815648,0.108978878803375,27475.1903692
"238","Netherlands",2006,2976543.9865806,0.103404287652671,111402269.906817,40.8449229637,45.030171,746.705020434854,0.137642744264618,0.162418438232249,27178.2226514
"239","Netherlands",2010,3090394.49339063,0.107359421730535,121699062.606414,40.8449229637,45.01778283,818.604972638591,0.172025373228209,0.185787403086465,27170.5156905
"240","Netherlands",2014,3239849.10820242,0.112551432347778,127729229.878031,40.8449229637,45.0108841,891.061126786043,0.203728740367698,0.203728740367698,27164.5697175
"241","New_Zealand",2000,2665439.08403923,0.0900244646636796,90550382.6933121,26.6451644421,37.83672742,373.070019035707,0.0367746502102862,0.0511167637922978,4055.16979522
"242","New_Zealand",2006,481036.483248702,0.0162468736004796,99314911.6336171,26.6451644421,37.23903768,493.673749190745,0.0836502417775646,0.0987072852975263,4025.7940105
"243","New_Zealand",2010,423232.805852135,0.0142945704529876,104417923.060765,26.6451644421,36.71296879,458.307022181983,0.0971686457499042,0.104942137409897,3627.11001698
"244","New_Zealand",2014,4467032.9330115,0.150872796469982,109564487.447608,26.6451644421,36.06676636,467.561293593833,0.122791267942584,0.122791267942584,3292.51494852
"245","Nicaragua",2000,824234.047249305,0.0278382759919433,32043555.1098957,65.0365767529,65.99981918,68.7724915075063,0.000644137677559984,0.000895351371808378,1658.15400392
"246","Nicaragua",2006,857344.317556216,0.028956566174262,38116943.9357764,65.0365767529,66.01576084,77.1305956145095,0.000805809489187008,0.00095085519724067,1653.66401505
"247","Nicaragua",2010,760815.141660873,0.0256963200720566,41115090.5305492,65.0365767529,66.03888364,84.5756884983829,0.000976298216518615,0.0010544020738401,1649.81719162
"248","Nicaragua",2014,843298.237956436,0.0284821637374682,41969529.264296,65.0365767529,66.07129582,80.5708695414147,0.00109114393984757,0.00109114393984757,1647.87532394
"249","Nigeria",2000,75053.0131885178,0.00253489467238297,20907939.5510016,54.6420575446,55.48791655,4.33162780401233,0.000221081222926831,0.000307302899868295,474.577831712
"250","Nigeria",2006,371124.423817505,0.0125346243243185,26003835.2251079,54.6420575446,55.45956665,5.06068973137806,0.000479300692112657,0.000565574816692935,472.342576207
"251","Nigeria",2010,375149.046878571,0.0126705548502552,25663882.7025125,54.6420575446,55.44032524,6.42279708543926,0.00145697036696485,0.00157352799632204,470.373319409
"252","Nigeria",2014,434167.958112507,0.0146639021830393,24128067.9961876,54.6420575446,55.42957714,5.57042151880653,0.00212282123860292,0.00212282123860292,469.084094724
"253","Norway",2000,3192762.52727956,0.110915657979827,53835805.2569622,5.24917620527,22.00584903,192.415959093595,0.0603452431728094,0.0838798880102051,24927.0217481
"254","Norway",2006,365325.994585799,0.0126913206730551,53131972.1858095,5.24917620527,22.13085364,182.06222457955,0.0886906510126654,0.104654968194945,24769.6004619
"255","Norway",2010,294003.384205987,0.0102135935663491,56336823.0044217,5.24917620527,22.3676888,192.412864752219,0.117694146932626,0.127109678687236,25532.5653509
"256","Norway",2014,368307.169984953,0.0127948858546573,63494253.699745,5.24917620527,22.61972074,208.431817775558,0.130961594069557,0.130961594069557,26460.5113245
"257","Pakistan",2000,2760839.19103181,0.0907263990265854,33849164.4255557,15.1545610082,37.33951323,29.4778141801727,0.00227239084541277,0.00315862327512375,996.441995483
"258","Pakistan",2006,3353163.24537156,0.110191288065266,35363317.3201298,15.1545610082,37.12766964,35.8589531835135,0.00385031900020921,0.00454337642024687,985.681622766
"259","Pakistan",2010,4393032.37043419,0.14436335483479,37043188.4330395,15.1545610082,37.0228636,39.4674553580959,0.0043365503392147,0.00468347436635187,982.086703801
"260","Pakistan",2014,4398279.34642141,0.144535780392441,42069112.5671787,15.1545610082,36.99785399,43.83878507804,0.00585177805501695,0.00585177805501695,980.360571465
"261","Paraguay",2000,222970.955087922,0.00753078207171815,35867314.2919086,49.9283293369,46.82714147,18.4546151577264,0.000682568846313151,0.00094877069637528,202.683557072
"262","Paraguay",2006,381125.848305467,0.0128724196582259,31424525.6173745,49.9283293369,47.1029254,8.88932506327714,0.000501595615194169,0.000591882825929119,181.251666153
"263","Paraguay",2010,361740.721439964,0.0122176923831011,43378440.522593,49.9283293369,47.11745348,7.0900973015453,0.000515882749706475,0.000557153369682993,176.964319995
"264","Paraguay",2014,356930.782147057,0.0120552380195773,43294223.2214007,49.9283293369,47.13438745,6.6130800946257,0.000589724529696852,0.000589724529696852,173.338601813
"265","Philippines",2000,1353589.3051912,0.0444815054132143,34737838.6032301,52.6627836068,61.06542524,19.592650581854,0.00212379095889417,0.00295206943286289,837.684286175
"266","Philippines",2006,1344277.47652718,0.0441755011063415,42270392.5805381,52.6627836068,61.07085719,21.3722392739486,0.00311007978638863,0.00366989414793859,835.492745361
"267","Philippines",2010,1409283.22488589,0.0463117129812566,42254698.2362242,52.6627836068,61.06154459,21.8700637088618,0.00470024437005705,0.00507626391966161,830.313074538
"268","Philippines",2014,1955380.8053423,0.0642575126326393,47668023.3692717,52.6627836068,61.00848537,19.1178326861286,0.0055474425211686,0.0055474425211686,818.961625823
"269","Poland",2000,2155804.33530305,0.0601197461754962,40588976.3270945,40.3242430278,45.64660622,50.4705711570617,0.0022554758170885,0.00313511138575301,9679.15930842
