Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
GU;Manure applied to Soils;11;Austria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;30543376.12;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;30626158.19;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;29629678.36;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;21918014.15;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;20362250.75;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;20417438.79;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;19753118.9;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;11178611.71;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;12886478.66;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;13648272.81;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;52;Azerbaijan;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;14479974.37;A;Aggregate, may include official, semi-official, estimated or calculated data
