"","country","year","N_area","Nt_area","yield","cropsuit","manure_area","netcap_area","netcap14_area","market","IFA_Region"
"170","Japan",2006,1093718.16404465,0.0364839774617352,67985949.2001961,44.71204462,76.4293670567039,0.0885464511242237,0.104484812326584,16487.80529,"IFA"
"214","Malaysia",2006,2739291.69028291,0.0900183073864346,132305650.470514,56.40091379,13.3663990889098,0.00513110424943815,0.00605470301433701,1720.746146,"IFA"
"226","Mexico",2006,2336612.32370185,0.0789184321740511,50000169.4443548,49.60464179,40.0821179339281,0.000965932873720292,0.00113980079098994,2606.495219,"IFA"
"230","Morocco",2006,634802.754154659,0.0214402866874753,23823477.1881918,49.72109747,4.99092960421726,0.00184288546753315,0.00217460485168911,2152.145128,"IFA"
"258","Pakistan",2006,3353163.24537156,0.110191288065266,35363317.3201298,37.06494661,35.8589531835135,0.00385031900020921,0.00454337642024687,586.9369811,"IFA"
"266","Philippines",2006,1344277.47652718,0.0441755011063415,42270392.5805381,57.47327435,21.3722392739486,0.00311007978638863,0.00366989414793859,500.0712329,"IFA"
"290","Russian_Federation",2006,504655.488658973,0.01537858551643,25887750.5689976,44.56338886,24.426962163745,0.00132325312412837,0.00156143868647148,3011.235629,"IFA"
"306","South_Africa",2006,2257211.99572816,0.0762367081523862,44453884.5411392,41.66683332,13.0367511171146,0.00499154302125082,0.00589002076507597,2236.962571,"IFA"
"330","Thailand",2006,1160658.35612194,0.0381414294223002,45282301.3747028,45.89237119,13.0063066913889,0.00126424511237043,0.00149180923259711,1050.431159,"IFA"
"338","Turkey",2006,1926494.50849096,0.0669258687979736,37332351.4280094,30.72251226,4.96110922633943,0.00633176714220612,0.00747148522780322,3180.367236,"IFA"
"342","Ukraine",2006,476901.271624457,0.0145328192269539,31242653.9937328,63.11288305,19.370837831037,0.00131401845641892,0.00155054177857433,2416.361874,"IFA"
"350","United_States_of_America",2006,3056515.56963829,0.0980576969912269,74281974.8466243,66.67575229,28.4772228546337,0.00537420482585099,0.00634156169450417,12402.17048,"IFA"
"358","Uzbekistan",2006,896520.647607372,0.027320062411512,57083804.3338771,27.86891249,93.4953441729548,0.00166351060007186,0.0019629425080848,671.9470199,"IFA"
"366","Viet_Nam",2006,3109433.34798928,0.102181862526667,57031354.2274859,60.10697341,28.0473163432955,0.000910372166374766,0.00107423915632222,652.5337752,"IFA"
"17","EU27",2006,3069886.6348517,0.0991300047813458,64254513.5246473,47.0027606,81.2722379806533,0.0160949197712091,0.0189920053300267,14327.10038,"IFA"
"113","Argentina",2010,712329.324711447,0.0240587250728723,49004357.315865,55.98132736,5.93029360850029,0.000931187164110415,0.00100568213723925,1798.839226,"IFA"
"15","Australia",2010,913277.344790609,0.0308456886321515,24981427.9717909,34.39855154,6.77244771230032,0.00534293427318344,0.00577036901503812,5323.713368,"IFA"
"27","Bangladesh",2010,2521501.11678922,0.0828612971052118,49932135.1281526,65.05402331,17.2193679401957,0.00101018882922425,0.00109100393556219,453.6634146,"IFA"
"31","Belarus",2010,3263874.77008604,0.0994614710325792,41082539.1578383,45.19041603,78.0770703866954,0.0110503067201374,0.0119343312577484,4593.538774,"IFA"
"43","Brazil",2010,1038481.89729286,0.0350744376138728,58105531.8526671,37.46278576,32.8438772150352,0.00208279149348269,0.00224941481296131,874.8070531,"IFA"
"55","Canada",2010,2550849.99742186,0.0818351715927508,45747829.079005,52.90569057,11.4165039572057,0.00183848756220822,0.00198556656718487,6632.006585,"IFA"
"59","Chile",2010,5828116.12092128,0.196843003062972,95969897.253881,50.55634595,232.342487577339,0.0249652679597176,0.026962489396495,1766.421086,"IFA"
"63","China,_mainland",2010,6191405.74747674,0.15426369537499,66629425.6298961,54.92953288,43.4010618148307,0.00211604916476508,0.00228533309794629,1661.629198,"IFA"
"99","Egypt",2010,6875088.40514998,0.232204201137162,90234955.3347256,33.72700312,8.36556483925835,0.0091010068713532,0.00982908742106145,3125.35044,"IFA"
"147","India",2010,3572792.91035322,0.100326170248715,34459885.6988624,63.79775131,17.0496108717759,0.00346251888717399,0.0037395203981479,1255.704127,"IFA"
"151","Indonesia",2010,2934250.83362478,0.096425033678271,76524172.962011,59.30161483,21.2469510393928,0.00673511615151553,0.00727392544363677,288.4772941,"IFA"
"155","Iran_(Islamic_Republic_of)",2010,1898040.22762253,0.0641057814545544,31305916.4306571,25.27723093,35.6553847993445,0.00378786378929613,0.00409089289243982,2922.739502,"IFA"
"171","Japan",2010,2736829.1465519,0.0912944634019477,67597152.0185004,44.71204462,79.0434096308259,0.104725236469732,0.11310325538731,16487.80529,"IFA"
"215","Malaysia",2010,2515201.89978577,0.0826542929170409,121140977.261865,56.40091379,13.506010258577,0.00714634658964322,0.00771805431681468,1720.746146,"IFA"
"227","Mexico",2010,2409147.29412401,0.0813682806514566,53504983.8171345,49.60464179,40.9304111133013,0.00102809962897432,0.00111034759929227,2606.495219,"IFA"
"231","Morocco",2010,710372.964645716,0.0239926495550855,22357792.1179225,49.72109747,6.06322963564323,0.00282920392570195,0.0030555402397581,2152.145128,"IFA"
"259","Pakistan",2010,4393032.37043419,0.14436335483479,37043188.4330395,37.06494661,39.4674553580959,0.0043365503392147,0.00468347436635187,586.9369811,"IFA"
"267","Philippines",2010,1409283.22488589,0.0463117129812566,42254698.2362242,57.47327435,21.8700637088618,0.00470024437005705,0.00507626391966161,500.0712329,"IFA"
"291","Russian_Federation",2010,917069.463227007,0.0279462553795259,24250532.8756617,44.56338886,29.3907902226017,0.00253096840383624,0.00273344587614314,3011.235629,"IFA"
"307","South_Africa",2010,1917827.96902045,0.0647741069236742,55850013.2028738,41.66683332,12.6556486275406,0.00537868503715109,0.00580897984012317,2236.962571,"IFA"
"331","Thailand",2010,1728439.38326101,0.0567997881544116,46355934.8008784,45.89237119,11.6544399280046,0.00170425731454933,0.00184059789971328,1050.431159,"IFA"
"339","Turkey",2010,2038791.65025887,0.0708270394180931,38397438.7196443,30.72251226,4.46048383306965,0.00984872641220061,0.0106366245251767,3180.367236,"IFA"
"343","Ukraine",2010,854257.718999503,0.0260321658635165,34219572.7873256,63.11288305,15.4071524380237,0.0020109054002095,0.00217177783222626,2416.361874,"IFA"
"351","United_States_of_America",2010,2765329.62944751,0.0887160064155394,80393723.640764,66.67575229,26.3185367352941,0.00539602305731478,0.00582770490189996,12402.17048,"IFA"
"359","Uzbekistan",2010,3264210.75666788,0.099471709697366,62031567.8404051,27.86891249,112.207732241261,0.00318695227325628,0.00344190845511678,671.9470199,"IFA"
"367","Viet_Nam",2010,3055734.85276773,0.100417228381939,62059684.6243836,60.10697341,28.2130124593181,0.00137819477606989,0.00148845035815548,652.5337752,"IFA"
"18","EU27",2010,3218520.7675796,0.103873429845402,68289974.4180391,47.0027606,80.9857496797159,0.0189760261699423,0.0204941082635377,14327.10038,"IFA"
"12","Argentina",2014,554020.058530689,0.0187118735824133,49165772.6401375,55.98132736,5.62817258731427,0.00116307788848466,0.00116307788848466,1798.839226,"IFA"
"16","Australia",2014,1375841.21736081,0.0464686549382454,31364826.3237953,34.39855154,7.7182144730228,0.00597937069640022,0.00597937069640022,5323.713368,"IFA"
"28","Bangladesh",2014,2695990.75954233,0.0885953568816197,53947024.0634079,65.05402331,18.6913965083645,0.00142689253834999,0.00142689253834999,453.6634146,"IFA"
"32","Belarus",2014,4499091.6303223,0.137102769984777,49987103.2726435,45.19041603,80.5761553981696,0.0109254537801798,0.0109254537801798,4593.538774,"IFA"
"44","Brazil",2014,1185853.84643223,0.0400518842594024,58091158.5580399,37.46278576,27.2429554126004,0.00163249800300596,0.00163249800300596,874.8070531,"IFA"
"56","Canada",2014,2785184.15202478,0.0893529698840477,46988535.8097449,52.90569057,9.96735259090003,0.00176553772272892,0.00176553772272892,6632.006585,"IFA"
"60","Chile",2014,4189673.21349145,0.141505048987559,89326789.7566707,50.55634595,322.172931696897,0.0305131731325999,0.0305131731325999,1766.421086,"IFA"
"64","China,_mainland",2014,4651091.18880521,0.115885558720418,72252132.466011,54.92953288,40.6234894721761,0.00364400743006507,0.00364400743006507,1661.629198,"IFA"
"100","Egypt",2014,6018515.8640801,0.203273701499343,99271060.1925544,33.72700312,8.73076076798047,0.00891721645805982,0.00891721645805982,3125.35044,"IFA"
"148","India",2014,3488177.83619929,0.0979501281583451,37350054.0312223,63.79775131,16.8678926823394,0.00434209672159427,0.00434209672159427,1255.704127,"IFA"
"152","Indonesia",2014,2701638.18334299,0.0887809419120244,83386079.4125547,59.30161483,23.8765896263146,0.00714761727782271,0.00714761727782271,288.4772941,"IFA"
"156","Iran_(Islamic_Republic_of)",2014,1774821.54621116,0.059944104717297,29957862.1204507,25.27723093,32.9865519471357,0.00456974830400234,0.00456974830400234,2922.739502,"IFA"
"172","Japan",2014,2467798.0335422,0.082320190699688,71179877.9291372,44.71204462,79.3678241512844,0.0815724285413517,0.0815724285413517,16487.80529,"IFA"
"216","Malaysia",2014,3179088.28583737,0.104470855563968,142716656.273658,56.40091379,16.6668787929967,0.00997479798895475,0.00997479798895475,1720.746146,"IFA"
