Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CS","Capital Stock","33","Canada","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","42186.77","Cv","Calculated through value",""
"CS","Capital Stock","36","Cayman Islands","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","5.6","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","36","Cayman Islands","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","9.2","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","36","Cayman Islands","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","12.24","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","36","Cayman Islands","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","15.06","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","37","Central African Republic","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","142.51","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","37","Central African Republic","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","223.67","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","37","Central African Republic","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","336.51","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","37","Central African Republic","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","432.63","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","39","Chad","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","414.03","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","39","Chad","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","733.42","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","39","Chad","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","1115.59","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","39","Chad","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","1861.68","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","40","Chile","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","5296.21","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","40","Chile","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","8494.14","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","40","Chile","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","12625.66","IM","FAO data based on imputation methodology",""
