"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg"
"179","Kenya",2010,2823364,1619551949420.4,54699.9172161324,80476336170756,"Kenya 2010",36.83373688,151.0185151,4985.46,5384.2968,56419498.97
"180","Kenya",2014,2954946,1819047162993.39,61437.812639223,79851737246904,"Kenya 2014",36.83373688,151.0185151,9009.44,9009.44,61564031.12
"181","Kuwait",2000,2062,5921588301.57333,200,167189097924,"Kuwait 2000",0.942446083,39538.25,321.34,446.6626,2905635.785
"182","Kuwait",2006,2914,931802041.108487,31.4713551045388,312884336952,"Kuwait 2006",0.942446083,39538.25,443.9,523.802,3650358.958
"183","Kuwait",2010,3207,994546455.814003,33.5905302822135,405399889080,"Kuwait 2010",0.942446083,39538.25,460.45,497.286,3637803.957
"184","Kuwait",2014,4279,1493820777.54849,50.4533818114843,927256080708,"Kuwait 2014",0.942446083,39538.25,538.91,538.91,4753751.556
"185","Lao_People's_Democratic_Republic",2000,808570,352992458199.344,11600,28648682211492,"Lao_People's_Democratic_Republic 2000",44.64062245,85.41593245,169.14,235.1046,35628343.59
"186","Lao_People's_Democratic_Republic",2006,908775,902212770242.281,29648.4185191861,39748020518880,"Lao_People's_Democratic_Republic 2006",44.64062245,85.41593245,379.7,448.046,42894038.23
"187","Lao_People's_Democratic_Republic",2010,1135639,921149986605.401,30270.7312760443,55681899868440,"Lao_People's_Democratic_Republic 2010",44.64062245,85.41593245,724.57,782.5356,49111859.21
"188","Lao_People's_Democratic_Republic",2014,1333081,1258688295656.66,41362.8786974588,79075669779900,"Lao_People's_Democratic_Republic 2014",44.64062245,85.41593245,1301.48,1301.48,55135332.3
"189","Latvia",2000,406000,73451024445.9384,2048.35702095349,13387117154400,"Latvia 2000",0,0,2147.62,2985.1918,20732628.93
