"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"1134",5146,67023,67023,"Azerbaijan","Sunflower seed",2010,9046,15492
"1135",5147,67027,67027,"Azerbaijan","Sunflower seed",2014,11705,19840
"1148",5184,67263,67263,"Azerbaijan","Wheat",2000,495330,1150281
"1149",5185,67269,67269,"Azerbaijan","Wheat",2006,560575,1460303
"1150",5186,67273,67273,"Azerbaijan","Wheat",2010,656480,1272340
"1151",5187,67277,67277,"Azerbaijan","Wheat",2014,604429,1407405
"1156",5460,70957,70957,"Bangladesh","Barley",2000,6880,5000
"1157",5461,70963,70963,"Bangladesh","Barley",2006,969,760
"1158",5462,70967,70967,"Bangladesh","Barley",2010,619,528
"1159",5463,70971,70971,"Bangladesh","Barley",2014,248,266
"1188",5566,72423,72423,"Bangladesh","Groundnuts, with shell",2000,29150,32000
"1189",5567,72429,72429,"Bangladesh","Groundnuts, with shell",2006,29394,37980
"1190",5568,72433,72433,"Bangladesh","Groundnuts, with shell",2010,33591,53467
"1191",5569,72437,72437,"Bangladesh","Groundnuts, with shell",2014,29560,56439
"1204",5590,72761,72761,"Bangladesh","Maize",2000,4855,10000
"1205",5591,72767,72767,"Bangladesh","Maize",2006,98404,521525
"1206",5592,72771,72771,"Bangladesh","Maize",2010,152009,887391
"1207",5593,72775,72775,"Bangladesh","Maize",2014,307152,2124000
"1216",5602,72929,72929,"Bangladesh","Millet",2000,26041,19500
"1217",5603,72935,72935,"Bangladesh","Millet",2006,20477,14150
"1218",5604,72939,72939,"Bangladesh","Millet",2010,35871,11990
"1219",5605,72943,72943,"Bangladesh","Millet",2014,18091,6369
"1236",5642,73486,73486,"Bangladesh","Potatoes",2000,243219,2933000
"1237",5643,73492,73492,"Bangladesh","Potatoes",2006,373200,5368400
"1238",5644,73496,73496,"Bangladesh","Potatoes",2010,435000,7930000
"1239",5645,73500,73500,"Bangladesh","Potatoes",2014,461710,8950000
"1244",5658,73710,73710,"Bangladesh","Rapeseed",2000,328609,249000
"1245",5659,73716,73716,"Bangladesh","Rapeseed",2006,216814,183465
"1246",5660,73720,73720,"Bangladesh","Rapeseed",2010,242101,221928
"1247",5661,73724,73724,"Bangladesh","Rapeseed",2014,293920,296000
"1248",5662,73766,73766,"Bangladesh","Rice, paddy",2000,10801214,37627500
"1249",5663,73772,73772,"Bangladesh","Rice, paddy",2006,10579000,40773000
"1250",5664,73776,73776,"Bangladesh","Rice, paddy",2010,11529000,50061200
"1251",5665,73780,73780,"Bangladesh","Rice, paddy",2014,11319490,52325620
"1256",5682,74046,74046,"Bangladesh","Sorghum",2000,810,1000
"1257",5683,74052,74052,"Bangladesh","Sorghum",2006,184,250
"1258",5684,74056,74056,"Bangladesh","Sorghum",2010,196,251
"1259",5685,74060,74060,"Bangladesh","Sorghum",2014,111,120
"1260",5686,74102,74102,"Bangladesh","Soybeans",2000,NA,NA
"1261",5687,74108,74108,"Bangladesh","Soybeans",2006,40600,61485
"1262",5688,74112,74112,"Bangladesh","Soybeans",2010,40681,69522
"1263",5689,74116,74116,"Bangladesh","Soybeans",2014,60893,112024
"1268",5698,74270,74270,"Bangladesh","Sugar cane",2000,170374,6910000
"1269",5699,74276,74276,"Bangladesh","Sugar cane",2006,152396,5510930
"1270",5700,74280,74280,"Bangladesh","Sugar cane",2010,117500,4490812
"1271",5701,74284,74284,"Bangladesh","Sugar cane",2014,107219,4508000
"1284",5736,74789,74789,"Bangladesh","Wheat",2000,832447,1840000
"1285",5737,74795,74795,"Bangladesh","Wheat",2006,479000,735000
"1286",5738,74799,74799,"Bangladesh","Wheat",2010,376256,901490
"1287",5739,74803,74803,"Bangladesh","Wheat",2014,429770,1303000
"1292",5884,76644,76644,"Belarus","Barley",2000,736000,1377600
"1293",5885,76650,76650,"Belarus","Barley",2006,680414,1830647
"1294",5886,76654,76654,"Belarus","Barley",2010,679959,1965780
"1295",5887,76658,76658,"Belarus","Barley",2014,545796,1988102
"1332",5968,77167,77167,"Belarus","Maize",2000,13000,30000
"1333",5969,77173,77173,"Belarus","Maize",2006,38749,152631
"1334",5970,77177,77177,"Belarus","Maize",2010,111668,550586
"1335",5971,77181,77181,"Belarus","Maize",2014,111932,599455
"1336",5972,77192,77192,"Belarus","Millet",2000,12479,15899
"1337",5973,77198,77198,"Belarus","Millet",2006,11713,16117
"1338",5974,77202,77202,"Belarus","Millet",2010,10903,16502
"1339",5975,77206,77206,"Belarus","Millet",2014,6947,10008
"1360",6016,77467,77467,"Belarus","Potatoes",2000,661000,8717800
"1361",6017,77473,77473,"Belarus","Potatoes",2006,433922,8329412
"1362",6018,77477,77477,"Belarus","Potatoes",2010,366766,7831111
"1363",6019,77481,77481,"Belarus","Potatoes",2014,307943,6279715
"1368",6030,77552,77552,"Belarus","Rapeseed",2000,110000,72600
"1369",6031,77558,77558,"Belarus","Rapeseed",2006,107117,115042
"1370",6032,77562,77562,"Belarus","Rapeseed",2010,307028,374522
"1371",6033,77566,77566,"Belarus","Rapeseed",2014,400481,729622
"1372",6038,77605,77605,"Belarus","Rye",2000,723000,1359900
"1373",6039,77611,77611,"Belarus","Rye",2006,488081,1072024
"1374",6040,77615,77615,"Belarus","Rye",2010,342542,734606
"1375",6041,77619,77619,"Belarus","Rye",2014,319633,867075
"1384",6050,77680,77680,"Belarus","Sunflower seed",2000,10000,20000
"1385",6051,77686,77686,"Belarus","Sunflower seed",2006,11000,20000
"1386",6052,77690,77690,"Belarus","Sunflower seed",2010,3847,2724
"1387",6053,77694,77694,"Belarus","Sunflower seed",2014,5325,5084
"1400",6088,77918,77918,"Belarus","Wheat",2000,452000,965800
"1401",6089,77924,77924,"Belarus","Wheat",2006,381417,1075238
"1402",6090,77928,77928,"Belarus","Wheat",2010,602788,1739110
"1403",6091,77932,77932,"Belarus","Wheat",2014,741946,2925079
"1412",6100,77969,77969,"Belgium","Barley",2000,48500,333400
"1413",6101,77975,77975,"Belgium","Barley",2006,49008,367348
"1414",6102,77979,77979,"Belgium","Barley",2010,40828,373400
"1415",6103,77983,77983,"Belgium","Barley",2014,47200,399970
"1468",6204,78409,78409,"Belgium","Maize",2000,35800,397400
"1469",6205,78415,78415,"Belgium","Maize",2006,56500,575898
"1470",6206,78419,78419,"Belgium","Maize",2010,62531,745891
"1471",6207,78423,78423,"Belgium","Maize",2014,63100,662700
"1472",6208,78426,78426,"Belgium","Maize, green",2000,NA,NA
"1473",6209,78432,78432,"Belgium","Maize, green",2006,NA,NA
"1494",6246,78584,78584,"Belgium","Potatoes",2000,65800,2921900
"1495",6247,78590,78590,"Belgium","Potatoes",2006,67267,2592820
"1496",6248,78594,78594,"Belgium","Potatoes",2010,81760,3455800
"1497",6249,78598,78598,"Belgium","Potatoes",2014,81121,4380556
"1506",6262,78652,78652,"Belgium","Rapeseed",2000,4800,14200
"1507",6263,78658,78658,"Belgium","Rapeseed",2006,9606,33976
"1508",6264,78662,78662,"Belgium","Rapeseed",2010,11300,45665
"1509",6265,78666,78666,"Belgium","Rapeseed",2014,12200,58500
"1514",6274,78703,78703,"Belgium","Rye",2000,1100,4800
"1515",6275,78709,78709,"Belgium","Rye",2006,603,2745
"1516",6276,78713,78713,"Belgium","Rye",2010,459,1969
"1517",6277,78717,78717,"Belgium","Rye",2014,400,1803
"1538",6320,78898,78898,"Belgium","Wheat",2000,213100,1687700
"1539",6321,78904,78904,"Belgium","Wheat",2006,201330,1661958
"1540",6322,78908,78908,"Belgium","Wheat",2010,209532,1849584
"1541",6323,78912,78912,"Belgium","Wheat",2014,211900,1994600
"1554",7021,90742,90742,"Bolivia_(Plurinational_State_of)","Barley",2000,88569,66550
"1555",7022,90748,90748,"Bolivia_(Plurinational_State_of)","Barley",2006,92619,75226
"1556",7023,90752,90752,"Bolivia_(Plurinational_State_of)","Barley",2010,57451,49314
"1557",7024,90756,90756,"Bolivia_(Plurinational_State_of)","Barley",2014,56252,44798
"1562",7049,91134,91134,"Bolivia_(Plurinational_State_of)","Cassava",2000,34559,342261
"1563",7050,91140,91140,"Bolivia_(Plurinational_State_of)","Cassava",2006,36432,371280
"1564",7051,91144,91144,"Bolivia_(Plurinational_State_of)","Cassava",2010,30345,266240
"1565",7052,91148,91148,"Bolivia_(Plurinational_State_of)","Cassava",2014,30911,245808
"1606",7141,92359,92359,"Bolivia_(Plurinational_State_of)","Groundnuts, with shell",2000,11182,12708
"1607",7142,92365,92365,"Bolivia_(Plurinational_State_of)","Groundnuts, with shell",2006,11930,14210
"1608",7143,92369,92369,"Bolivia_(Plurinational_State_of)","Groundnuts, with shell",2010,12102,12809
"1609",7144,92373,92373,"Bolivia_(Plurinational_State_of)","Groundnuts, with shell",2014,19221,20788
"1622",7157,92553,92553,"Bolivia_(Plurinational_State_of)","Maize",2000,307292,653271
"1623",7158,92559,92559,"Bolivia_(Plurinational_State_of)","Maize",2006,343080,894436
"1624",7159,92563,92563,"Bolivia_(Plurinational_State_of)","Maize",2010,365354,1018988
"1625",7160,92567,92567,"Bolivia_(Plurinational_State_of)","Maize",2014,463479,1006622
"1626",7161,92609,92609,"Bolivia_(Plurinational_State_of)","Maize, green",2000,17000,45000
"1627",7162,92615,92615,"Bolivia_(Plurinational_State_of)","Maize, green",2006,11928,34321
"1628",7163,92619,92619,"Bolivia_(Plurinational_State_of)","Maize, green",2010,7689,22299
"1629",7164,92623,92623,"Bolivia_(Plurinational_State_of)","Maize, green",2014,8412,21831
"1674",7225,93501,93501,"Bolivia_(Plurinational_State_of)","Potatoes",2000,125404,721466
"1675",7226,93507,93507,"Bolivia_(Plurinational_State_of)","Potatoes",2006,135370,754807
"1676",7227,93511,93511,"Bolivia_(Plurinational_State_of)","Potatoes",2010,177256,1002902
"1677",7228,93515,93515,"Bolivia_(Plurinational_State_of)","Potatoes",2014,176363,1064384
"1690",7249,93793,93793,"Bolivia_(Plurinational_State_of)","Rice, paddy",2000,156312,299083
"1691",7250,93799,93799,"Bolivia_(Plurinational_State_of)","Rice, paddy",2006,168399,446462
"1692",7251,93803,93803,"Bolivia_(Plurinational_State_of)","Rice, paddy",2010,194237,442017
"1693",7252,93807,93807,"Bolivia_(Plurinational_State_of)","Rice, paddy",2014,174925,484057
"1698",7265,94017,94017,"Bolivia_(Plurinational_State_of)","Rye",2000,298,205
