"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"559",1395,19074,19074,"Algeria","Tangerines, mandarins, clementines, satsumas",2010,11779,151824
"560",1396,19078,19078,"Algeria","Tangerines, mandarins, clementines, satsumas",2014,12258,227935
"565",1401,19176,19176,"Algeria","Tomatoes",2000,16710,341447
"566",1402,19182,19182,"Algeria","Tomatoes",2006,20436,548934
"567",1403,19186,19186,"Algeria","Tomatoes",2010,21358,718235
"568",1404,19190,19190,"Algeria","Tomatoes",2014,22646,1065609
"573",1409,19288,19288,"Algeria","Triticale",2000,10,11
"574",1410,19294,19294,"Algeria","Triticale",2006,0,0
"575",1411,19298,19298,"Algeria","Triticale",2010,0,0
"576",1412,19302,19302,"Algeria","Triticale",2014,0,0
"593",1429,19560,19560,"Algeria","Watermelons",2000,28980,398691
"594",1430,19566,19566,"Algeria","Watermelons",2006,43290,785224
"595",1431,19570,19570,"Algeria","Watermelons",2010,49455,1223767
"596",1432,19574,19574,"Algeria","Watermelons",2014,54427,1614301
"597",1433,19616,19616,"Algeria","Wheat",2000,827000,760361
"598",1434,19622,19622,"Algeria","Wheat",2006,1783825,2687930
"599",1435,19626,19626,"Algeria","Wheat",2010,1755728,2605178
"600",1436,19630,19630,"Algeria","Wheat",2014,1651311,2436197
"609",2522,34693,34693,"Argentina","Apples",2000,46000,833322
"610",2523,34699,34699,"Argentina","Apples",2006,40356,1100000
"611",2524,34703,34703,"Argentina","Apples",2010,25440,720000
"612",2525,34707,34707,"Argentina","Apples",2014,31554,930000
"613",2526,34749,34749,"Argentina","Apricots",2000,2200,24275
"614",2527,34755,34755,"Argentina","Apricots",2006,2300,25200
"615",2528,34759,34759,"Argentina","Apricots",2010,2389,26413
"616",2529,34763,34763,"Argentina","Apricots",2014,2382,27014
"617",2530,34805,34805,"Argentina","Artichokes",2000,4357,83785
"618",2531,34811,34811,"Argentina","Artichokes",2006,4698,92000
"619",2532,34815,34815,"Argentina","Artichokes",2010,4475,98645
"620",2533,34819,34819,"Argentina","Artichokes",2014,4740,105189
