"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"124","French_Guiana",0,306.312592308712,1.24810319166529,0,0,0,0,5.93676032445799,10.4564937991276,323.953949623963,"Latin_America",29607941.5078667,9591609591.70868
"125","French_Polynesia",0,0,0,0,0,0,0,3.32458578169646,2.19129592602734,5.5158817077238,"Other_Asia",30430384.3275296,167850400.271226
"126","Gabon",0,17.447743922802,399.393021332892,13.3354101636818,40.6829585902597,0,232.504718276634,316.627217304426,286.035103989242,1306.02617357994,"Africa",29607941.5078667,38668746555.0977
"127","Gambia",0,537.3905128223,341.980274516289,0,35.5975887664772,645.909911210855,1525.48929047059,0,15.4316614508967,3101.79923923741,"Africa",29607941.5078667,91837890444.4865
"128","Georgia",2217.54763555083,0,4570.62877406978,8.37953172322266,0,190.821991588814,151.24431923895,0,209.697761123945,7348.32001329554,"CIS",32815468.5045522,241138563957.671
"129","Ghana",0,4019.96019981357,17341.1457449975,0,1627.31834361039,3040.98059619366,2815.8904769059,435.362423793585,4074.57588949478,33355.2336748094,"Africa",29607941.5078667,987579807624.981
"130","Grenada",0,0,7.58846740532495,0,0,0,0,11.8735206489159,0.179007272830403,19.6409953270713,"Latin_America",29607941.5078667,581529440.800208
"131","Guadeloupe",0,0,0,0,0,0,0,1021.12277580677,0.740719749643044,1021.86349555641,"Latin_America",29607941.5078667,30255274605.4585
"132","Guam",0,0,0.349468893666281,0,0,0,0,0,0,0.349468893666281,"Other_Asia",30430384.3275296,10634472.7447815
"133","Guinea-Bissau",0,2604.94816767434,649.013659665949,0,96.6220266518667,336.730285465374,235.423944183885,15.8313608652213,12.2403938628513,3950.80983836949,"Africa",29607941.5078667,116975346603.148
"134","Guyana",0,4048.64429082266,77.3823978832479,0,0,0,51.4222935255156,3498.7307512139,24.6906583214349,7700.87039176676,"Latin_America",29607941.5078667,228006920119.092
"135","Haiti",0,1814.56536797141,6739.75723499256,0,0,857.131635730044,335.840148621804,1345.6656735438,486.405968932266,11579.3660297919,"Latin_America",29607941.5078667,342841192108.256
"136","Iceland",0,0,0,0,0,0,0,0,4.20358457922427,4.20358457922427,"Western_Europe",28785498.6882037,121002278.391014
"137","Iran_(Islamic_Republic_of)",306980.913425496,73087.2598570799,39358.3055220526,1300.43167227148,0,69335.4078550228,22064.5324351905,4070.97886448077,48475.1411425369,564672.970774131,"Middle_East",29607941.5078667,16718804289753.8
"138","Iraq",31042.5109091026,3489.54878456039,1815.990143873,0.561254636518597,0,6838.68597936042,161.461609914329,0,239.190752488899,43587.9494339362,"Middle_East",29607941.5078667,1290549457287.83
"139","Jamaica",0,0.453641341992851,38.5663886224574,0,0,0,30.7810413140677,3117.98652240533,7.61089542758225,3195.39848911143,"Latin_America",29607941.5078667,94609171559.9368
"140","Kazakhstan",259983.615739643,2515.96467366804,1862.16996196461,19.6439122781509,0,10932.27932555,3481.11230975293,0,982.070934735068,279776.856857592,"CIS",32815468.5045522,9181008634512.92
"141","Kyrgyzstan",11477.6579835316,217.363993790267,1467.89416371755,0.449003709214878,0,432.171893103915,503.902309149431,0,425.876820057268,14525.3161670592,"CIS",32815468.5045522,476655055198.796
"142","Lesotho",614.227815854776,0,3936.01822523566,0,0,163.044804222335,0,0,32.7151222759011,4746.00596758867,"Africa",29607941.5078667,140519467084.352
"143","Liberia",0,5007.50250584416,140.062140168679,41.6450940296799,164.765982290552,0,103.335430345171,1939.34170598961,413.568526884033,7810.22138555188,"Africa",29607941.5078667,231244577946.91
"144","Libya",3999.51710552877,0,49.9241276666116,0,0,1133.86270669431,155.003145517755,0,58.6403135134076,5396.94739892085,"Africa",29607941.5078667,159792502908.282
"145","Luxembourg",1229.81169910373,0,37.8673751232919,0,0,806.010668367368,219.099612715889,0,82.9582750687803,2375.74763037906,"Western_Europe",28785498.6882037,68387080297.7795
"146","Maldives",0,0,0.524203340499421,0,0,0.281628966025586,0,0,0.0864173041250218,0.892249610650029,"Other_Asia",30430384.3275296,27151498.5681691
"147","Mali",68.2935240000257,12308.9994871705,4020.2152665454,7.5208121293492,0,10734.9125216856,2579.96277249908,310.927927392946,28.9312788881413,30059.763590311,"Africa",29607941.5078667,890007722122.229
"148","Malta",266.901983006652,0,0,0,0,38.9703641619191,0,0,178.425337090031,484.297684258602,"Western_Europe",28785498.6882037,13940750354.9261
"149","Martinique",0,0,0,0,0,0,0,245.38609341093,0.678993103839456,246.065086514769,"Latin_America",29607941.5078667,7285480688.65744
"150","Mauritius",0,0,2.52116844716388,0,0,0,1.588782241557,5782.87949684803,3.90112401478669,5790.89057155154,"Africa",29607941.5078667,171456349320.954
"151","Micronesia_(Federated_States_of)",0,2.96611646687634,1.07336874483215,0,0,0.0244894753065727,0,0,6.85783034877851,10.9218050357936,"Other_Asia",30430384.3275296,332354724.789547
"152","Mongolia",4619.41017962447,0,0,0,0,10.1814993587076,0,0,48.6591148869677,4678.25079387015,"Other_Asia",30430384.3275296,142360969638.039
